title,price,area_square_meters,area_square_feet,bedrooms,bathrooms,latitude,longitude,property_type
"Piso en venta en Fuencarral-El Pardo, La Paz",629000,153,1646,4,3,40.486849,-3.697991999999999,Apartment
"Piso en venta en Retiro, Estrella",749000,167,1797,3,3,40.4177378,-3.663283000000001,Apartment
"Piso en venta en Salamanca, Recoletos",1300000,132,1420,3,3,40.4239905,-3.6860327,Apartment
"Chalet en venta en Chamartín, Nueva España",5000000,825,8880,5,6,40.4616996,-3.6783484,House
"Piso en venta en Arganzuela, Chopera",429000,84,904,3,2,40.3980263,-3.7003396,Apartment
"Piso en venta en Centro, Sol",1299000,193,2077,4,4,40.4178752,-3.7029752,Apartment
"Loft en venta en Moncloa-Aravaca, Aravaca",650000,230,2475,3,2,40.457637,-3.7853812,Apartment
"Piso en venta en Centro, Justicia",899000,106,1140,3,3,40.425422,-3.707496099999999,Apartment
"Piso en venta en Retiro, Pacifico",599000,135,1453,3,2,40.4055521,-3.6783034,Apartment
"Chalet en venta en Somosaguas, Pozuelo de Alarcón",2380000,1000,10763,7,6,40.42384339999999,-3.7866868,House
"Piso en venta en Retiro, Niño Jesús",1400000,261,2809,4,2,40.4095722,-3.6709883,Apartment
"Piso en venta en Tetuán, Castillejos",449000,108,1162,3,2,40.4588926,-3.6991225,Apartment
"Piso en venta en Centro, Cortes",2150000,222,2389,3,3,40.4186477,-3.6981048,Apartment
"Piso en venta en Retiro, Niño Jesús",899000,167,1797,5,3,40.41145179999999,-3.674873499999999,Apartment
"Piso en venta en Fuencarral-El Pardo, Valverde",589000,163,1754,4,2,40.4998837,-3.6761288,Apartment
"Piso en venta en Moncloa-Aravaca, Argüelles",1450000,184,1980,3,3,40.4311404,-3.7231807,Apartment
"Piso en venta en Salamanca, Goya",3990000,269,2895,4,3,40.42727319999999,-3.6774768,Apartment
"Piso en venta en Arganzuela, Palos de Moguer",550000,120,1291,4,2,40.3946697,-3.6982007,Apartment
"Piso en venta en Centro, Universidad",799000,97,1044,2,2,40.4246066,-3.7106308,Apartment
"Piso en venta en Centro, Palacio ",507000,107,1151,3,2,40.40898260000001,-3.7127674,Apartment
"Piso en venta en Centro, Palacio",495000,69,742,2,2,40.42044929999999,-3.7079859,Apartment
"Piso en venta en Centro, Universidad",575500,70,753,2,1,40.4245653,-3.7100559,Apartment
"Piso en venta en Salamanca, Castellana",879000,87,936,2,2,40.43500709999999,-3.6813516,Apartment
"Piso en venta en Moncloa-Aravaca, Valdezarza",699000,168,1808,3,3,40.47024329999999,-3.7274444,Apartment
"Piso en venta en Centro, Cortes",839000,106,1140,2,2,40.41042059999999,-3.6948194,Apartment
"Piso en venta en Centro, Lavapiés ",459000,80,861,2,1,40.4086436,-3.7047569,Apartment
"Piso en venta en Castellana, Salamanca",1490000,132,1420,3,2,40.4348677,-3.6847529,Apartment
"Piso en venta en Salamanca, Recoletos",1625000,148,1593,3,3,40.4283726,-3.6847874,Apartment
"Piso en venta en Chamartín, Hispanoamérica",1175000,250,2690,8,3,40.45457709999999,-3.678265900000001,Apartment
"Piso en venta en Centro, Embajadores",395000,93,1001,2,2,40.4079871,-3.7061727,Apartment
"Piso en venta en Tetúan, Cuatro Caminos",380000,93,1001,2,2,40.4508515,-3.700374200000001,Apartment
"Piso en venta en Carabanchel, Puerta Bonita",250000,119,1280,4,1,40.3831969,-3.7413478,Apartment
"Piso en venta en Lavapiés, Centro",385000,84,904,2,1,40.4100363,-3.6977597,Apartment
"Piso en venta en Parque de las Avenidas, Guindalera",828000,140,1506,3,3,40.4396908,-3.6636913,Apartment
"Piso en venta en Centro, Palacio",1150000,147,1582,2,2,40.4141959,-3.711086699999999,Apartment
"Piso en venta en Retiro, Niño Jesús",549000,119,1280,3,2,40.4072972,-3.6704402,Apartment
"Piso en venta en Centro, Sol",829000,84,904,2,2,40.4165827,-3.701301099999999,Apartment
"Piso en venta en Salamanca, Guindalera",430000,78,839,3,1,40.4334371,-3.6674316,Apartment
Chalet en venta La Rinconada ,2045000,389,4187,5,4,40.4564767,-3.7625255,House
"Piso en venta en Salamanca, Diego de León",1100000,100,1076,2,2,40.4337301,-3.6798008,Apartment
"Piso en venta en Salamanca, Guindalera",300000,60,645,1,1,40.4355251,-3.6677329,Apartment
"Piso en venta en Chamartín, El Viso",1990000,230,2475,4,5,40.450978,-3.6862933,Apartment
"Piso en venta en Salamanca, Goya",640000,113,1216,3,2,40.4261506,-3.669212,Apartment
"Chalet en venta en C. XVIII, Las Rozas",1175000,506,5446,5,4,40.564276,-3.8965868,House
"Piso en venta en Tetuán, Cuatro Caminos",460000,105,1130,4,2,40.4471778,-3.7007992,Apartment
"Piso en venta en Chamartín, Nueva España",1700000,450,4843,6,6,40.4648279,-3.6705237,Apartment
"Piso en venta en Centro, Sol",899000,88,947,2,2,40.4167831,-3.7016713,Apartment
"Piso en venta en Tetuán, Almenara",599000,126,1356,3,2,40.4726492,-3.688222,Apartment
"Piso en venta en Centro, Justicia",789000,107,1151,3,3,40.4218353,-3.700323599999999,Apartment
"Piso en venta en Salamanca, Goya",1985000,200,2152,3,4,40.42548939999999,-3.6724338,Apartment
